Date,Close,High,Low,Open,Volume,close_lag_1,close_lag_3,close_lag_5,close_lag_7,ma_7,ma_30,volatility_7,daily_return,day_of_week,target_return
2021-08-27,145.06515502929688,145.21158091727293,143.33725507209095,143.97178711441077,55802400,144.03038024902344,146.06088256835938,144.6649169921875,142.87844848632812,144.85875810895647,143.61695404052733,1.048299356260462,0.007184420248591561,4,0.030417303478808666
2021-08-30,149.47764587402344,149.83885461039787,145.07493307828,145.45565533870288,90956700,145.06515502929688,144.8308563232422,146.1487579345703,143.21035766601562,145.75408499581474,143.97109629313152,1.807356161528758,0.030417303478808666,0,-0.0084249278314672
2021-08-31,148.2183074951172,149.16523456794167,147.69114453920625,149.02856544896787,86453100,149.47764587402344,144.03038024902344,146.06088256835938,144.6649169921875,146.26171221051897,144.1630401611328,1.9442876000342066,-0.0084249278314672,1,0.0044787558931336235
2021-09-01,148.88214111328125,151.29338682527435,148.71618680019012,149.19453621732464,80313700,148.2183074951172,145.06515502929688,144.8308563232422,146.1487579345703,146.6521955217634,144.40148111979167,2.178228411704298,0.0044787558931336235,2,0.007474731324957906
2021-09-02,149.9949951171875,151.03954929712242,148.77472989529102,150.20976298790652,71115500,148.88214111328125,149.47764587402344,144.03038024902344,146.06088256835938,147.2142116001674,144.63152821858725,2.4860174879026595,0.007474731324957906,3,0.004230487833659868
2021-09-03,150.62954711914062,150.9516989362315,149.44832378980732,150.10238418360416,57808700,149.9949951171875,148.2183074951172,145.06515502929688,144.8308563232422,148.04259599958147,144.8255416870117,2.5252817347678276,0.004230487833659868,4,0.015489292680115119
2021-09-07,152.9626922607422,153.5191254698615,150.71740121777114,151.2836060822293,82278300,150.62954711914062,148.88214111328125,149.47764587402344,144.03038024902344,149.31864057268416,145.08335571289064,2.414322912742503,0.015489292680115119,1,-0.010083432065816744
2021-09-08,151.42030334472656,153.3043860941943,150.31717858511598,153.24581573453693,74420200,152.9626922607422,149.9949951171875,148.2183074951172,145.06515502929688,150.22651890345983,145.36188812255858,1.6087716047293774,-0.010083432065816744,2,-0.006704905264594108
2021-09-09,150.40504455566406,152.39651120399355,150.28788894400816,151.79126431107525,57305700,151.42030334472656,150.62954711914062,148.88214111328125,149.47764587402344,150.3590044294085,145.66473846435548,1.574646529080824,-0.006704905264594108,3,-0.033101939799806135
2021-09-10,145.4263458251953,151.78148246152148,145.16276433644302,151.3129047338198,140893200,150.40504455566406,152.9626922607422,149.9949951171875,148.2183074951172,149.96015276227678,145.78018697102866,2.3633320095399073,-0.033101939799806135,4,0.0038935389685983424
2021-09-13,145.99256896972656,147.818081410703,145.21159606216116,147.04688016056696,102404300,145.4263458251953,151.42030334472656,150.62954711914062,148.88214111328125,149.54735674176897,145.90736338297526,2.795795571854372,0.0038935389685983424,0,-0.009561999249772857
2021-09-14,144.59658813476562,147.47642687466802,143.4153793726529,146.77355269563384,109296300,145.99256896972656,150.40504455566406,152.9626922607422,149.9949951171875,148.77615574428015,145.99905446370443,3.3427860165050705,-0.009561999249772857,1,0.00614365423063612
2021-09-15,145.4849395751953,145.88519025288556,142.88821089491876,145.0261185341006,83281300,144.59658813476562,145.4263458251953,151.42030334472656,150.62954711914062,148.0412118094308,146.0605702718099,3.4317477637613534,0.00614365423063612,2,-0.0016106768461191523
2021-09-16,145.2506103515625,145.4263362978241,143.71796490468603,144.90894501042473,68034100,145.4849395751953,145.99256896972656,150.40504455566406,152.9626922607422,146.93948582240515,146.12759704589843,2.760774103251023,-0.0016106768461191523,3,-0.01834797330516269
2021-09-17,142.58555603027344,145.27991132028194,142.29268938190515,145.27991132028194,129868800,145.2506103515625,144.59658813476562,145.4263458251953,151.42030334472656,145.67737906319755,146.1022160847982,2.3614905801243284,-0.01834797330516269,4,-0.021360937202866248
2021-09-20,139.539794921875,141.3945924183066,137.9095220938746,140.37933813407227,123478900,142.58555603027344,145.4849395751953,145.99256896972656,150.40504455566406,144.12520054408483,145.99808654785156,2.306300701588522,-0.021360937202866248,0,0.003428038421499302
2021-09-21,140.0181427001953,141.16032435989862,139.38361057442205,140.50624891873463,75834000,139.539794921875,145.2506103515625,144.59658813476562,145.4263458251953,143.35260009765625,145.91153004964193,2.6742819129202178,0.003428038421499302,1,0.01687229034933635
2021-09-22,142.3805694580078,142.9467594818777,140.28170408222925,141.01386330488788,76404300,140.0181427001953,142.58555603027344,145.4849395751953,145.99256896972656,142.83660016741072,145.91966451009114,2.415999410922075,0.01687229034933635,2,0.006719177353295525
2021-09-23,143.33724975585938,143.5813028239796,142.17555476827644,143.1615238009879,64838200,142.3805694580078,139.539794921875,145.2506103515625,144.59658813476562,142.65669468470983,145.95122884114582,2.3075546005708376,0.006719177353295525,3,0.0006130671989355019
2021-09-24,143.4251251220703,143.96204492535793,142.09747565204063,142.1951028511181,53477900,143.33724975585938,140.0181427001953,142.58555603027344,145.4849395751953,142.36243547712053,145.88712514241536,1.9972583798564643,0.0006130671989355019,4,-0.010550125543791755
2021-09-27,141.91197204589844,142.48794860245857,140.39885495340664,142.00959923062172,74150700,143.4251251220703,142.3805694580078,139.539794921875,145.2506103515625,141.88548714773995,145.7657491048177,1.5385735520637063,-0.010550125543791755,0,-0.02380127270574861
